SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
INNOVATIVE, SM, 01-Oct-2018, 29.30, 30.30, 32.40, 28.90, 28.90, 28.90, 29.93, 18000, 5.39, 6, 12000, 66.67
INOXLEISUR, EQ, 01-Oct-2018, 216.50, 218.00, 230.00, 203.00, 230.00, 222.85, 211.10, 252621, 533.28, 3629, 182417, 72.21
INOXWIND, EQ, 01-Oct-2018, 86.75, 87.55, 87.85, 77.10, 85.90, 83.80, 82.20, 147385, 121.16, 2535, 62146, 42.17
INSECTICID, EQ, 01-Oct-2018, 494.30, 499.00, 499.00, 480.05, 495.00, 494.20, 487.37, 15005, 73.13, 548, 10035, 66.88
INTEGRA, BE, 01-Oct-2018, 1.90, 1.90, 1.90, 1.90, 1.90, 1.90, 1.90, 1, 0.00, 1, -, -
INTELLECT, EQ, 01-Oct-2018, 203.00, 200.25, 221.00, 189.55, 212.80, 212.95, 206.32, 870628, 1796.27, 12107, 244754, 28.11
INTENTECH, BE, 01-Oct-2018, 43.75, 43.75, 45.60, 41.75, 44.60, 42.70, 42.38, 15224, 6.45, 112, -, -
INVENTURE, EQ, 01-Oct-2018, 13.55, 13.05, 14.00, 12.05, 13.30, 13.95, 13.66, 13075, 1.79, 40, 8669, 66.30
IOB, EQ, 01-Oct-2018, 13.10, 13.15, 13.35, 12.95, 13.30, 13.30, 13.16, 488755, 64.34, 1361, 233896, 47.86
IOC, EQ, 01-Oct-2018, 153.35, 153.00, 155.00, 150.00, 154.70, 153.95, 152.02, 6344801, 9645.39, 40762, 2187848, 34.48
IOLCP, EQ, 01-Oct-2018, 120.35, 115.60, 119.65, 114.35, 116.00, 116.85, 115.95, 409852, 475.21, 2600, 249417, 60.86
IPAPPM, EQ, 01-Oct-2018, 439.30, 444.85, 460.90, 410.50, 455.50, 452.10, 432.41, 193917, 838.51, 7201, 76765, 39.59
IPCALAB, EQ, 01-Oct-2018, 679.45, 678.50, 684.00, 650.10, 673.65, 668.40, 668.49, 137832, 921.39, 11271, 80190, 58.18
IRB, EQ, 01-Oct-2018, 137.20, 136.50, 145.40, 131.55, 144.00, 144.50, 139.62, 2461825, 3437.32, 18993, 672638, 27.32
IRBINVIT, IV, 01-Oct-2018, 74.45, 74.51, 74.89, 74.03, 74.03, 74.41, 74.55, 325000, 242.30, 39, 320000, 98.46
IRCON, EQ, 01-Oct-2018, 415.30, 418.10, 434.85, 406.60, 428.25, 427.00, 419.97, 624624, 2623.23, 20363, 148088, 23.71
IREDA, N5, 01-Oct-2018, 1205.00, 1248.00, 1248.60, 1219.00, 1220.00, 1219.50, 1229.10, 6, 0.07, 4, 2, 33.33
IREDA, N6, 01-Oct-2018, 1240.90, 1235.00, 1235.00, 1225.10, 1225.10, 1225.10, 1226.33, 10, 0.12, 6, 10, 100.00
IRFC, N1, 01-Oct-2018, 1042.33, 1040.10, 1043.00, 1040.00, 1043.00, 1043.00, 1041.52, 2736, 28.50, 29, 2736, 100.00
IRFC, N2, 01-Oct-2018, 1078.10, 1080.00, 1092.00, 1078.00, 1092.00, 1092.00, 1083.26, 4381, 47.46, 23, 4358, 99.48
IRFC, NA, 01-Oct-2018, 1193.10, 1237.99, 1237.99, 1193.10, 1200.00, 1200.00, 1199.00, 31, 0.37, 3, 31, 100.00
IRFC, NE, 01-Oct-2018, 1232.30, 1232.00, 1232.00, 1230.00, 1230.00, 1230.00, 1230.40, 10, 0.12, 2, 10, 100.00
IRFC, NI, 01-Oct-2018, 1053.00, 1030.60, 1030.60, 1030.09, 1030.09, 1030.09, 1030.26, 158, 1.63, 6, 158, 100.00
IRFC, NJ, 01-Oct-2018, 1090.05, 1096.05, 1096.05, 1050.25, 1050.25, 1050.25, 1065.86, 157, 1.67, 7, 157, 100.00
IRFC, NO, 01-Oct-2018, 1074.41, 1075.00, 1077.00, 1071.01, 1071.01, 1071.01, 1074.12, 528, 5.67, 12, 510, 96.59
ISEC, EQ, 01-Oct-2018, 289.15, 285.00, 287.95, 274.10, 280.25, 279.90, 279.34, 96828, 270.48, 5361, 54093, 55.87
ISFT, EQ, 01-Oct-2018, 196.65, 187.50, 192.00, 186.85, 188.95, 187.00, 187.32, 10700, 20.04, 193, 7407, 69.22
ISMTLTD, EQ, 01-Oct-2018, 6.35, 6.15, 6.20, 6.05, 6.05, 6.05, 6.07, 36602, 2.22, 69, 26059, 71.20
